ra,dec,phot_g_mean_flux
46.60206426551212,5.956938196327417,464593.8315750658
43.82016210722349,8.385951691861825,442132.2960486545
53.18270742610918,10.659505916889449,1521064.8415823164
38.328559204017,6.4203220069747555,792494.8917724397
34.71125710057352,9.499287413965797,1020587.9059279115
46.290431645639124,12.176654404848602,3618357.545110677
44.04052799133757,13.677615755032598,9912748.810050767
45.14501791453031,18.631641642023975,3818544.4609372746
57.91578712005686,14.360585046337784,297916.6461357548
58.076416473693286,16.28085827537798,294444.550361093
60.679757373146096,18.138752118420122,1304907.0027072935
57.67408160723461,19.37811883929644,916069.1696267473
62.96880129984861,23.60086049600217,1252524.7800374737
53.5717738321225,18.492619440372717,924387.581989495
48.708037391880346,19.972040523034142,849044.5206339663
50.628741971362935,24.119907636948763,427110.790885542
58.96673640066606,22.989881072163154,604881.4763399331
58.180094900963205,25.64256778802719,3505383.8088228665
53.27371226245891,26.25685575719732,464358.66497465444
55.00912509171004,27.486340725478797,328869.6945221193
35.60646271607828,12.956931160864542,352520.39799904765
29.37565738692864,14.991404076784425,236676.97757458518
40.19043033777361,16.668135654947637,556765.2315899913
36.32616855356467,17.935175250582674,1998987.2492527447
38.1878872238503,22.026705348150085,707911.9458561179
30.569718904202105,18.589337384387562,532816.9453990941
25.320067332666817,20.615425998550617,568135.2901757924
35.89323068163659,22.457759305705842,9291979.958219599
35.53310116109327,24.939205676705257,819703.1363379073
30.047172810317726,26.098763075128176,364614.01364595053
33.32149860198401,29.43675086481442,344161.41865637037
45.85381119041699,23.93811185130314,1496323.11769149
41.92015805735846,26.711007905248014,378583.76854326535
49.738701340839214,25.48370739690836,767435.4226938097
54.5277007567209,29.973149681637878,1833395.208732789
50.865649992885665,31.626534750893544,410675.4495984119
41.62482410396866,27.624963402476716,618896.8743603936
41.594274425978156,29.767808527444426,828135.9385565951
35.56643864295206,30.264348042618415,225026.59455607142
37.36223331105209,32.111552151023076,554872.6559418796
43.72273379874115,32.57596586590082,348627.59970908344
49.16994326669213,36.285647981604065,877116.3985904662
43.53304771057937,34.979037608425884,567010.2354903318
46.15571087101322,37.00337950721593,749094.063530022
45.21114704235456,39.876590730751516,560320.1773940645
69.00945906379799,23.70727913441676,463202.7761815458
67.17517239627934,28.886473631640683,790639.1537368587
77.36567397742789,30.555099840825328,1822254.4354115562
70.24855693622767,31.9064260619832,355093.15340345516
62.818456024875296,27.929158743286372,1778717.0498700575
