ra,dec
46.60206426551212,5.956938196327417
43.82016210722349,8.385951691861825
53.18270742610918,10.659505916889449
38.328559204017,6.4203220069747555
34.71125710057352,9.499287413965797
46.290431645639124,12.176654404848602
44.04052799133757,13.677615755032598
45.14501791453031,18.631641642023975
57.91578712005686,14.360585046337784
58.076416473693286,16.28085827537798
60.679757373146096,18.138752118420122
57.67408160723461,19.37811883929644
62.96880129984861,23.60086049600217
53.5717738321225,18.492619440372717
48.708037391880346,19.972040523034142
50.628741971362935,24.119907636948763
58.96673640066606,22.989881072163154
58.180094900963205,25.64256778802719
53.27371226245891,26.25685575719732
55.00912509171004,27.486340725478797
35.60646271607828,12.956931160864542
29.37565738692864,14.991404076784425
40.19043033777361,16.668135654947637
36.32616855356467,17.935175250582674
38.1878872238503,22.026705348150085
30.569718904202105,18.589337384387562
25.320067332666817,20.615425998550617
35.89323068163659,22.457759305705842
35.53310116109327,24.939205676705257
30.047172810317726,26.098763075128176
33.32149860198401,29.43675086481442
45.85381119041699,23.93811185130314
41.92015805735846,26.711007905248014
49.738701340839214,25.48370739690836
54.5277007567209,29.973149681637878
50.865649992885665,31.626534750893544
41.62482410396866,27.624963402476716
41.594274425978156,29.767808527444426
35.56643864295206,30.264348042618415
37.36223331105209,32.111552151023076
43.72273379874115,32.57596586590082
49.16994326669213,36.285647981604065
43.53304771057937,34.979037608425884
46.15571087101322,37.00337950721593
45.21114704235456,39.876590730751516
69.00945906379799,23.70727913441676
67.17517239627934,28.886473631640683
77.36567397742789,30.555099840825328
70.24855693622767,31.9064260619832
62.818456024875296,27.929158743286372
63.64570356477526,30.983816540391828
56.40292990689023,29.894573821010756
61.06768176803119,32.844585132858505
67.9507681582183,32.919000180885305
64.40585268013001,33.72583456303259
67.09475771522541,36.940116886857574
79.45060089423552,31.62359693218221
77.0193883419963,32.44006391523481
81.66864249654304,33.81358814220013
82.24470309364169,35.85240771816471
82.40428618417795,37.619201065370476
76.93488695541978,36.47481376700046
77.81412519271151,37.18519760952993
79.60765674930134,39.49197563694742
77.9858601886527,39.63097571640135
86.16450861934959,38.822477572861935
84.79992639463492,40.95965649680846
86.50809330901706,41.510846304868444
81.1423067450178,40.320620286337494
79.31707429836385,42.17174766469181
87.56631946371935,44.41839056799294
88.57059529102871,46.91798362338044
73.27001127363344,41.42125851186793
77.65727570832847,41.8826339175883
76.22069666486361,42.61209970554229
68.11887170276013,41.41061379328378
76.45561541774767,44.42992786989302
75.09944910549567,46.93156711366112
81.30401063051865,44.92156015742464
84.15428418768735,45.66584541405999
89.97481069785061,50.46400366607039
79.61987299062625,49.05668322263134
86.8993213593528,51.22089354154348
55.308888149950086,31.996122166612444
61.581264248389225,35.79419546072273
54.152188060237485,33.96144044717625
52.79113004416449,37.403089439737705
54.21809903674769,39.16638866628143
64.02353198605914,38.35071659216328
