hip,tycho2_id,solution_id,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_good_obs_ac,astrometric_n_bad_obs_al,astrometric_n_bad_obs_ac,astrometric_delta_q,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_primary_flag,astrometric_relegation_factor,astrometric_weight_al,astrometric_weight_ac,astrometric_priors_used,matched_observations,duplicated_source,scan_direction_strength_k1,scan_direction_strength_k2,scan_direction_strength_k3,scan_direction_strength_k4,scan_direction_mean_k1,scan_direction_mean_k2,scan_direction_mean_k3,scan_direction_mean_k4,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_variable_flag,l,b,ecl_lon,ecl_lat
,629-1155-1,1635378410781933568,78188642673429248,1067034,2015.0,29.39029203023974,0.19234114615024286,14.971222691428121,0.15056462308399363,8.09452462213057,0.2695224584647853,55.67146104246553,1.2738165528653391,-111.21852384223645,0.39938676427663355,-0.10763045,0.7155278,-0.5110316,-0.09112278,-0.5553639,-0.1224914,-0.06880683,-0.20833184,-0.24041542,-0.6211788,58,58,58,57,0,1,,0.20391872558213828,50.163179877380415,true,2.2149777,20.08629,2.8653321E-5,5,8,false,0.45186135,0.25814453,0.7434926,0.82485133,-95.538605,-14.320704,-54.616962,24.22906,49,1616085.0351444946,2863.7286810405567,10.003609541985448,NOT_AVAILABLE,145.78475001378297,-44.946376427043646,32.57257428112547,2.7760029818249246
,1218-501-1,1635378410781933568,85697241939190016,652874,2015.0,36.26255248388732,0.29319338182292615,17.89143376664805,0.18472844819435283,4.592163507779269,0.27769342511644096,20.309835713473685,0.8664327679564536,-18.37755791206171,0.4082082433249387,-0.24179284,0.6220957,-0.8469299,0.27956545,-0.42567042,0.39073062,-0.4841334,-0.79069835,0.27858934,-0.25365877,60,60,59,58,1,2,,0.36495088784989,144.4522772133787,true,3.675766,6.5803046,2.7000775E-5,5,7,false,0.114917114,0.24072033,0.2135863,0.8969836,175.08554,-43.796185,-39.570553,26.014523,60,1401107.3560943003,1913.3834408494065,10.158591530813322,NOT_AVAILABLE,152.30164981186448,-39.58246686910319,39.770412566052855,3.3228394557566214
,1210-410-1,1635378410781933568,92813830950122240,1770053,2015.0,31.211162882009113,0.2448113212439825,19.028035780530374,0.15741842074686876,3.474498523808916,0.2772299194894551,-8.29223223986328,0.8558034518669869,-17.24152175631927,0.2683207592119022,-0.40907338,0.6490627,-0.83945143,0.24312413,-0.69037193,0.5548085,-0.5243951,-0.8167095,0.28946492,-0.3402418,105,105,105,102,0,3,,0.3615631568423376,170.57415351565479,true,3.6441813,6.739927,2.4142093E-5,5,12,false,0.38425088,0.26962686,0.53589284,0.8378707,-156.41101,-4.1204605,-45.425167,22.278357,104,1026385.729411513,799.4880219097647,10.496493551099796,NOT_AVAILABLE,145.98786959570228,-40.53434322285449,35.61366947213691,5.984803535300726
11114,,1635378410781933568,99906814820600704,84482,2015.0,35.75149882705328,0.29892706684902165,22.274912018962098,0.2459365818222625,3.8556517055113044,0.3198766175863555,6.794698138905235,0.08746409619138415,-6.60239685260617,0.06178086315817645,0.045658253,-0.011339777,0.06522152,-0.0070000147,-0.21293971,0.008102388,0.11641758,-0.062187124,-0.04741753,0.16930273,98,98,98,97,0,1,3.0628128,1.0265547183705934,1100.3999427513654,true,9.999557,0.9399644,2.1072156E-5,3,11,false,0.14011891,0.22769359,0.33558363,0.8426341,-134.66838,-3.6874862,-45.012573,26.170479,97,5170805.243083686,5182.715486791338,8.74087461258718,NOT_AVAILABLE,149.30285188518863,-35.86428742952106,40.73830985381065,7.626007335392006
,1760-1037-1,1635378410781933568,105640080764554112,629244,2015.0,30.01231661978271,0.29183651795616933,26.018207950939725,0.1314804557835795,2.333947990063421,0.2382779320039833,12.097704037857675,0.9930573869027366,-4.9482733622596555,0.32467869104757685,-0.3629697,0.68691593,-0.8270673,0.25799376,-0.47839382,0.35633293,-0.36499584,-0.7242661,0.23375322,-0.3625492,92,92,91,88,1,4,,0.3178773939455187,128.57693102110161,true,3.239114,8.997828,3.670237E-5,5,11,false,0.2474526,0.38515034,0.4514154,0.7971383,-133.03542,7.9953732,-51.93472,22.551376,92,548530.827762708,784.5343475560888,11.176767463320731,NOT_AVAILABLE,141.6555076134475,-34.34661912130853,37.02369122507703,12.924154147359976
,1782-325-1,1635378410781933568,111553907134069376,1236466,2015.0,45.8936273947407,0.9053715538257812,23.924880861926084,0.5298556331213027,2.7149131572250766,0.852049774594152,7.609472129046302,2.726848359675873,-10.581877320402214,1.8031144320900052,-0.2663051,0.52044946,-0.6562865,0.39860335,-0.35193902,0.34366354,-0.40726998,-0.47882313,0.39124024,-0.34029713,69,69,69,62,0,7,,2.1001069548474285,2292.6301364928236,true,20.37891,0.21411918,2.3452016E-5,5,8,false,0.22315389,0.31385183,0.26245043,0.6638025,-39.64794,-8.14449,-45.20743,30.805046,66,207481.5001442722,145.94753552144496,12.232321615358048,NOT_AVAILABLE,157.9809372446598,-29.807715260515636,50.19724358602818,6.372522715845924
,1788-959-1,1635378410781933568,117391970279949568,61488,2015.0,50.04719848648091,0.21523684910862836,25.706572199826137,0.2234154654728787,4.108262675904741,0.34607659645958266,23.22913629533613,0.73864784139904,5.815865757825655,0.3978055530405109,0.11097884,-0.008807451,-0.48351187,0.06085333,-0.81594783,0.50028515,-0.7085912,-0.59650415,0.55022556,-0.5415047,81,81,81,79,0,2,,0.428694167019328,183.16372340153535,true,4.273574,4.6863623,2.2408083E-5,5,15,true,0.3568989,0.4599112,0.6912461,0.36729786,-112.558105,-12.941359,-35.59372,33.55688,131,1090103.5727700805,1417.0162151364952,10.431100656269747,NOT_AVAILABLE,160.29165765679193,-26.17124137783273,54.33510226118501,7.078156362131843
,2341-7-1,1635378410781933568,124087308898112000,987553,2015.0,50.995678609834336,0.43491207686725386,31.470578355301058,0.29646277342101646,1.2825955306344419,0.4495880921179558,6.293811293794933,1.1861820665835867,-4.603059721775339,0.7108408993005074,-0.3941641,0.39487165,-0.27519113,-0.0014796866,-0.53336626,0.14718428,-0.4108523,-0.008885064,-0.11192908,-0.5972651,69,69,69,67,0,2,,0.8589145259592189,312.44250138197964,true,3.4543912,1.3121401,7.863334E-6,5,11,false,0.4163713,0.61781126,0.6207837,0.6735834,-130.60413,14.234173,-41.926476,23.364494,83,9299052.435412807,8068.03826517249,8.10367332230452,NOT_AVAILABLE,157.28681977158965,-21.038675948274513,56.65366943688302,12.435307787980223
,1780-861-1,1635378410781933568,129635959967850112,897738,2015.0,41.64131727142867,0.23190359188739165,29.746080767014575,0.17179617701453612,7.748072008660061,0.24671803506738835,-15.634059039546834,0.6622422801149099,-64.82760739189972,0.37190387416404025,-0.09269159,0.3864514,-0.67298144,0.0759988,-0.47964737,0.2647345,-0.5792603,-0.56992304,0.18256405,-0.28178695,80,80,80,76,0,4,,0.3533933416802927,137.2102834873714,true,3.5681047,7.3090916,2.2224884E-5,5,9,false,0.30679938,0.33244,0.5427321,0.68135494,-123.10493,-2.283982,-40.652447,28.695242,75,5715806.172814785,3800.4236294009647,8.632076331031065,NOT_AVAILABLE,150.86084582787663,-26.808841882212892,48.23800612289282,13.046013316864443
,2327-867-1,1635378410781933568,134073382740155776,1540890,2015.0,37.49853119092679,0.41164965165479034,32.06521423004556,0.19927792842636188,0.6921683395837281,0.30716716906824854,12.925279182158262,3.433958355902406,-5.027896982906666,1.1554288747132186,-0.30004504,0.4925624,-0.6680577,0.5238308,-0.5477739,0.017706009,-0.07268576,-0.15906902,0.031042647,-0.92706394,97,97,97,92,0,5,,0.6631181693461018,316.2172896928887,true,6.504312,2.2123015,3.034508E-5,5,11,false,0.33786133,0.53382516,0.59507614,0.7306646,-119.37307,12.821305,-46.78199,25.150894,95,338120.57159672916,784.6068837895207,11.702091077630367,NOT_AVAILABLE,146.14682203685342,-26.32556601666057,45.512768256139324,16.372069290243246
