ra,dec,flux,l,b
46.60206426551212,5.956938196327417,464593.8315750658,172.57388075056215,-43.53071951926132
43.82016210722349,8.385951691861825,442132.2960486545,167.5027752600221,-43.513250524556454
53.18270742610918,10.659505916889449,1521064.8415823164,174.40846212028265,-35.625100777692666
38.328559204017,6.4203220069747555,792494.8917724397,162.96853664145402,-48.37158974191172
34.71125710057352,9.499287413965797,1020587.9059279115,155.9778804828028,-47.68559740204917
46.290431645639124,12.176654404848602,3618357.545110677,166.82784905377304,-39.03910023720484
44.04052799133757,13.677615755032598,9912748.810050767,163.4087176768188,-39.198027110874584
45.14501791453031,18.631641642023975,3818544.4609372746,160.85553919536432,-34.56095970472026
57.91578712005686,14.360585046337784,297916.6461357548,175.08430091805945,-29.732998748617085
58.076416473693286,16.28085827537798,294444.550361093,173.6228941754563,-28.291372206323388
60.679757373146096,18.138752118420122,1304907.0027072935,174.04186163037784,-25.209950609754287
57.67408160723461,19.37811883929644,916069.1696267473,170.8474126074269,-26.37776407151444
62.96880129984861,23.60086049600217,1252524.7800374737,171.32932579875765,-19.90559134517365
53.5717738321225,18.492619440372717,924387.581989495,168.3285911711357,-29.67913489692747
48.708037391880346,19.972040523034142,849044.5206339663,163.1308556229925,-31.48423811860238
50.628741971362935,24.119907636948763,427110.790885542,161.83667030755572,-27.113945237975376
58.96673640066606,22.989881072163154,604881.4763399331,169.02184612101414,-22.95053300739403
58.180094900963205,25.64256778802719,3505383.8088228665,166.48729764757644,-21.51981037199735
53.27371226245891,26.25685575719732,464358.66497465444,162.44122288137788,-23.95222124802173
55.00912509171004,27.486340725478797,328869.6945221193,162.8845699491031,-22.01798837583787
35.60646271607828,12.956931160864542,352520.39799904765,154.6637154232996,-44.23703504104064
29.37565738692864,14.991404076784425,236676.97757458518,145.75590352329306,-44.9325847550833
40.19043033777361,16.668135654947637,556765.2315899913,157.29172739975618,-38.80180832692637
36.32616855356467,17.935175250582674,1998987.2492527447,152.345353281898,-39.51581967097835
38.1878872238503,22.026705348150085,707911.9458561179,151.91842418625137,-35.079055376399396
30.569718904202105,18.589337384387562,532816.9453990941,145.45148185034697,-41.164036779419874
25.320067332666817,20.615425998550617,568135.2901757924,138.39395516744526,-40.75508365499068
35.89323068163659,22.457759305705842,9291979.958219599,149.35243209469374,-35.642943053985015
35.53310116109327,24.939205676705257,819703.1363379073,147.72291066460795,-33.52939350998999
30.047172810317726,26.098763075128176,364614.01364595053,141.66042949681074,-34.260287804650176
33.32149860198401,29.43675086481442,344161.41865637037,143.5443343845038,-30.138082457501852
45.85381119041699,23.93811185130314,1496323.11769149,157.93763250362105,-29.817082476357132
41.92015805735846,26.711007905248014,378583.76854326535,152.7824703704789,-29.33828605813106
49.738701340839214,25.48370739690836,767435.4226938097,160.1916050226213,-26.51626011456369
54.5277007567209,29.973149681637878,1833395.208732789,160.83490927257137,-20.37153145922978
50.865649992885665,31.626534750893544,410675.4495984119,157.09258578736427,-20.977658157698507
41.62482410396866,27.624963402476716,618896.8743603936,152.00674308652918,-28.671885278574454
41.594274425978156,29.767808527444426,828135.9385565951,150.8090182260061,-26.809370912846052
35.56643864295206,30.264348042618415,225026.59455607142,145.25853403869024,-28.63964876106645
37.36223331105209,32.111552151023076,554872.6559418796,146.00812979956365,-26.33104320827088
43.72273379874115,32.57596586590082,348627.59970908344,151.04896300700332,-23.469659114126568
49.16994326669213,36.285647981604065,877116.3985904662,153.04826225826272,-17.95306717939053
43.53304771057937,34.979037608425884,567010.2354903318,149.61912631478373,-21.456223670813195
46.15571087101322,37.00337950721593,749094.063530022,150.49189843289767,-18.640658269365943
45.21114704235456,39.876590730751516,560320.1773940645,148.29679134044747,-16.537192492162642
69.00945906379799,23.70727913441676,463202.7761815458,175.10590681378258,-15.698326560024846
67.17517239627934,28.886473631640683,790639.1537368587,169.9477532083217,-13.549132757685603
77.36567397742789,30.555099840825328,1822254.4354115562,174.28942974942046,-5.627701670504896
70.24855693622767,31.9064260619832,355093.15340345516,169.41434269989267,-9.565311087721758
62.818456024875296,27.929158743286372,1778717.0498700575,167.94796866659576,-16.99571237287018
63.64570356477526,30.983816540391828,3103711.635183686,166.21429302132952,-14.33794666861024
56.40292990689023,29.894573821010756,2962738.553679024,162.21531862460432,-19.390767540109813
61.06768176803119,32.844585132858505,304428.21038965945,163.25538151445454,-14.53614900764584
67.9507681582183,32.919000180885305,4678886.017372577,167.3421387658914,-10.354190566255607
64.40585268013001,33.72583456303259,502106.4868217033,164.6724064562417,-11.955346629044485
67.09475771522541,36.940116886857574,194294.01917460858,163.86320691858884,-8.14673481944466
79.45060089423552,31.62359693218221,454992.0084650928,174.46170066994262,-3.554114714600672
77.0193883419963,32.44006391523481,611354.8365737973,172.5891742846531,-4.7484505047969785
81.66864249654304,33.81358814220013,9817604.912935091,173.71362569677498,-0.775865185619617
82.24470309364169,35.85240771816471,769258.1496708998,172.28114479949,0.7500530547770772
82.40428618417795,37.619201065370476,615098.68590627,170.87848972350866,1.8324243406111262
76.93488695541978,36.47481376700046,1596841.325057339,169.30376234827722,-2.3960966474441157
77.81412519271151,37.18519760952993,234957.76213479202,169.15127482153767,-1.4078287873297208
79.60765674930134,39.49197563694742,176702.06762583592,168.09854054802906,1.0804106810916227
77.9858601886527,39.63097571640135,2428574.137059078,167.25697774340537,0.14530557474998107
86.16450861934959,38.822477572861935,340271.2171269547,171.44181429861166,4.971950933403867
84.79992639463492,40.95965649680846,632575.3546909302,169.06322017995777,5.195668742740767
86.50809330901706,41.510846304868444,1524479.557008244,169.26007379310445,6.579670913588126
81.1423067450178,40.320620286337494,282138.1892787644,168.08591693542655,2.51993662758494
79.31707429836385,42.17174766469181,279940.29103066,165.78074303987717,2.445197552677078
87.56631946371935,44.41839056799294,442241.518673838,167.1186054308001,8.71247824870207
88.57059529102871,46.91798362338044,423742.9142927931,165.25294173232635,10.544732820863546
73.27001127363344,41.42125851186793,1029674.9620312068,163.64909935281364,-1.5965639392057096
77.65727570832847,41.8826339175883,710970.0752498969,165.29382529746502,1.276075204913722
76.22069666486361,42.61209970554229,254640.27476416182,164.07241800163982,0.8618219155946913
