ra,dec,phot_g_mean_flux,l,b
43.82016210722349,8.385951691861825,442132.2960486545,167.5027752600221,-43.513250524556454
38.328559204017,6.4203220069747555,792494.8917724397,162.96853664145402,-48.37158974191172
46.290431645639124,12.176654404848602,3618357.545110677,166.82784905377304,-39.03910023720484
45.14501791453031,18.631641642023975,3818544.4609372746,160.85553919536432,-34.56095970472026
58.076416473693286,16.28085827537798,294444.550361093,173.6228941754563,-28.291372206323388
57.67408160723461,19.37811883929644,916069.1696267473,170.8474126074269,-26.37776407151444
53.5717738321225,18.492619440372717,924387.581989495,168.3285911711357,-29.67913489692747
50.628741971362935,24.119907636948763,427110.790885542,161.83667030755572,-27.113945237975376
58.180094900963205,25.64256778802719,3505383.8088228665,166.48729764757644,-21.51981037199735
55.00912509171004,27.486340725478797,328869.6945221193,162.8845699491031,-22.01798837583787
29.37565738692864,14.991404076784425,236676.97757458518,145.75590352329306,-44.9325847550833
36.32616855356467,17.935175250582674,1998987.2492527447,152.345353281898,-39.51581967097835
30.569718904202105,18.589337384387562,532816.9453990941,145.45148185034697,-41.164036779419874
35.89323068163659,22.457759305705842,9291979.958219599,149.35243209469374,-35.642943053985015
30.047172810317726,26.098763075128176,364614.01364595053,141.66042949681074,-34.260287804650176
45.85381119041699,23.93811185130314,1496323.11769149,157.93763250362105,-29.817082476357132
49.738701340839214,25.48370739690836,767435.4226938097,160.1916050226213,-26.51626011456369
50.865649992885665,31.626534750893544,410675.4495984119,157.09258578736427,-20.977658157698507
41.594274425978156,29.767808527444426,828135.9385565951,150.8090182260061,-26.809370912846052
37.36223331105209,32.111552151023076,554872.6559418796,146.00812979956365,-26.33104320827088
49.16994326669213,36.285647981604065,877116.3985904662,153.04826225826272,-17.95306717939053
46.15571087101322,37.00337950721593,749094.063530022,150.49189843289767,-18.640658269365943
69.00945906379799,23.70727913441676,463202.7761815458,175.10590681378258,-15.698326560024846
77.36567397742789,30.555099840825328,1822254.4354115562,174.28942974942046,-5.627701670504896
62.818456024875296,27.929158743286372,1778717.0498700575,167.94796866659576,-16.99571237287018
56.40292990689023,29.894573821010756,2962738.553679024,162.21531862460432,-19.390767540109813
67.9507681582183,32.919000180885305,4678886.017372577,167.3421387658914,-10.354190566255607
67.09475771522541,36.940116886857574,194294.01917460858,163.86320691858884,-8.14673481944466
77.0193883419963,32.44006391523481,611354.8365737973,172.5891742846531,-4.7484505047969785
82.24470309364169,35.85240771816471,769258.1496708998,172.28114479949,0.7500530547770772
76.93488695541978,36.47481376700046,1596841.325057339,169.30376234827722,-2.3960966474441157
79.60765674930134,39.49197563694742,176702.06762583592,168.09854054802906,1.0804106810916227
86.16450861934959,38.822477572861935,340271.2171269547,171.44181429861166,4.971950933403867
86.50809330901706,41.510846304868444,1524479.557008244,169.26007379310445,6.579670913588126
79.31707429836385,42.17174766469181,279940.29103066,165.78074303987717,2.445197552677078
88.57059529102871,46.91798362338044,423742.9142927931,165.25294173232635,10.544732820863546
77.65727570832847,41.8826339175883,710970.0752498969,165.29382529746502,1.276075204913722
68.11887170276013,41.41061379328378,1601964.3746855455,161.117919080039,-4.517362975603819
75.09944910549567,46.93156711366112,359241.5534687534,160.16329122464404,2.868484320909162
84.15428418768735,45.66584541405999,260299.78263830944,164.79147002155796,7.278489755673985
79.61987299062625,49.05668322263134,571736.5872759933,160.24100979533267,6.563587912892946
55.308888149950086,31.996122166612444,304719.4748027078,160.02970618315314,-18.380569179692596
54.152188060237485,33.96144044717625,551845.6139631358,157.94356247772583,-17.451174399220484
54.21809903674769,39.16638866628143,1060759.8918156214,154.6950952001733,-13.293199341833834
66.269108274458,41.055510924067136,181670.357764528,160.41620012228208,-5.771434366935947
59.61160273147777,42.35780685415183,1186510.0434498854,155.87931441724973,-8.24322359565667
63.61239453820191,46.10030263064435,1290628.1187185936,155.4805511943096,-3.5469815346122906
50.56094320270211,41.13550964675228,506412.64775257214,151.18210571187345,-13.319509535319396
47.66407850933477,39.21522327794361,791518.5832898745,150.3422338776203,-16.13468354933546
51.35381238849663,43.60589998269123,761740.233161753,150.25840125262542,-10.946670450443627
56.26406678353704,41.98844912545551,347380.0548638568,154.18362100163966,-10.110998351021767
59.439461486555366,45.97175606630529,207303.1432225328,153.41067809491767,-5.584063142290259
54.56633927570963,47.818111890368215,555516.9591897978,149.63676501404467,-6.215183597870973
59.78961072092238,51.67545939264698,475257.84160342615,149.87406605169858,-1.097810545451873
70.00292151924081,45.772570241790085,357298.45321080065,158.80264747086997,-0.575598967757818
68.95314408496023,47.38527299736281,558094.33620079,157.12134543402573,-0.0327916136037358
77.5805965262104,50.00863354215607,675624.6937433896,158.69016546581528,6.033070563239122
89.00112735189822,56.096167011969634,184187.5354750497,157.04176900723667,15.043220492730326
84.75649426940315,57.004259960103575,496073.86086094246,155.08059272685892,13.405429917418202
67.50022889218683,53.87281042866734,2317491.820021377,151.73713964689694,3.706597426944813
61.97229314540762,53.73115104948615,603597.1609317228,149.50564452403393,1.3184014891048879
