ra,dec,flux
43.82016210722349,8.385951691861825,442132.2960486545
38.328559204017,6.4203220069747555,792494.8917724397
46.290431645639124,12.176654404848602,3618357.545110677
45.14501791453031,18.631641642023975,3818544.4609372746
58.076416473693286,16.28085827537798,294444.550361093
57.67408160723461,19.37811883929644,916069.1696267473
53.5717738321225,18.492619440372717,924387.581989495
50.628741971362935,24.119907636948763,427110.790885542
58.180094900963205,25.64256778802719,3505383.8088228665
55.00912509171004,27.486340725478797,328869.6945221193
29.37565738692864,14.991404076784425,236676.97757458518
36.32616855356467,17.935175250582674,1998987.2492527447
30.569718904202105,18.589337384387562,532816.9453990941
35.89323068163659,22.457759305705842,9291979.958219599
30.047172810317726,26.098763075128176,364614.01364595053
45.85381119041699,23.93811185130314,1496323.11769149
49.738701340839214,25.48370739690836,767435.4226938097
50.865649992885665,31.626534750893544,410675.4495984119
41.594274425978156,29.767808527444426,828135.9385565951
37.36223331105209,32.111552151023076,554872.6559418796
49.16994326669213,36.285647981604065,877116.3985904662
46.15571087101322,37.00337950721593,749094.063530022
69.00945906379799,23.70727913441676,463202.7761815458
77.36567397742789,30.555099840825328,1822254.4354115562
62.818456024875296,27.929158743286372,1778717.0498700575
56.40292990689023,29.894573821010756,2962738.553679024
67.9507681582183,32.919000180885305,4678886.017372577
67.09475771522541,36.940116886857574,194294.01917460858
77.0193883419963,32.44006391523481,611354.8365737973
82.24470309364169,35.85240771816471,769258.1496708998
76.93488695541978,36.47481376700046,1596841.325057339
79.60765674930134,39.49197563694742,176702.06762583592
86.16450861934959,38.822477572861935,340271.2171269547
86.50809330901706,41.510846304868444,1524479.557008244
79.31707429836385,42.17174766469181,279940.29103066
88.57059529102871,46.91798362338044,423742.9142927931
77.65727570832847,41.8826339175883,710970.0752498969
68.11887170276013,41.41061379328378,1601964.3746855455
75.09944910549567,46.93156711366112,359241.5534687534
84.15428418768735,45.66584541405999,260299.78263830944
79.61987299062625,49.05668322263134,571736.5872759933
55.308888149950086,31.996122166612444,304719.4748027078
54.152188060237485,33.96144044717625,551845.6139631358
54.21809903674769,39.16638866628143,1060759.8918156214
66.269108274458,41.055510924067136,181670.357764528
59.61160273147777,42.35780685415183,1186510.0434498854
63.61239453820191,46.10030263064435,1290628.1187185936
50.56094320270211,41.13550964675228,506412.64775257214
47.66407850933477,39.21522327794361,791518.5832898745
51.35381238849663,43.60589998269123,761740.233161753
56.26406678353704,41.98844912545551,347380.0548638568
59.439461486555366,45.97175606630529,207303.1432225328
54.56633927570963,47.818111890368215,555516.9591897978
59.78961072092238,51.67545939264698,475257.84160342615
70.00292151924081,45.772570241790085,357298.45321080065
68.95314408496023,47.38527299736281,558094.33620079
77.5805965262104,50.00863354215607,675624.6937433896
89.00112735189822,56.096167011969634,184187.5354750497
84.75649426940315,57.004259960103575,496073.86086094246
67.50022889218683,53.87281042866734,2317491.820021377
61.97229314540762,53.73115104948615,603597.1609317228
72.55758558498196,58.975974280224115,496891.18690597964
83.8480542326518,59.87016677992753,163310.66967789343
83.6612919341311,62.18654748077771,154577.3889028277
23.19408489995407,22.725982623178886,348071.62265919003
22.114627314270997,27.14893684611547,2494442.8467967315
31.314598369615524,31.075798354866453,444034.11751299206
27.06743874084662,32.861374282663576,972788.4165580954
19.35864010169534,31.54190488196389,1497019.7058235912
22.229281973024147,30.312964729429588,1808569.4202578226
25.08886106418997,35.671153840511,238146.48329790973
23.966350835007724,38.610037260527804,956435.4363909437
32.65874346132644,33.93813964286775,440616.95880821126
33.2235061701234,35.32215258321473,7845782.845420861
31.46841940098977,38.112567600018366,784366.9786425848
38.13434779801032,39.88649879605044,271585.71104786114
41.51114800070418,43.75474442941928,3060227.912029302
36.2936585388886,43.545437743761255,1.523358826502646E7
39.674838274660765,46.53757511857585,258084.1812125526
26.856234031412757,40.15223374560431,509871.7860650461
24.977910180898995,39.66837126722141,163378.73575405002
29.287080556460268,44.05204280885758,214033.65973956286
34.396343533829736,46.095743850213104,635819.7625670707
37.368738381798444,49.06157721064147,857080.2444094646
30.128830316387926,47.728257704493494,504803.1199598923
32.68362533417775,51.520006947141646,516656.2961684994
9.715939852051173,33.03776281246363,1074981.425208969
7.076148046248065,35.29848274240871,4667428.889191947
18.095398241726308,38.12015971575267,400460.670694262
18.369002170493015,40.91966295757669,225981.37704673086
11.844290783996819,42.620483365132316,271696.76704047987
13.47371724278283,45.9448599568441,1246696.2271338124
6.000679760398056,42.408741801697964,657959.6247312414
1.24685662036182,44.04608358244578,202842.1502174563
1.1293347530770548,46.6222891043664,252437.7234530289
10.894321592476382,48.06325629270627,565388.636700924
4.662811579794209,48.32223517748219,603016.44282427
6.066942826659642,50.30594077395777,4985756.1991649745
2.3674779808389377,52.663965352269194,418259.5172397228
20.395570945139614,46.7584059152326,486159.0523465204
21.84630340540023,50.41896787374789,918828.1167722341
19.108176015125984,48.76344178027831,180563.03906885145
15.9670839483453,53.65280592857884,1566382.4138505696
28.02459915253378,51.80608771205496,176092.648170981
23.923850397733915,54.351089271585906,339927.40925802547
19.472051693601014,54.04810842640217,400406.75072236767
21.175427625785126,55.66336619449154,672367.4096179361
17.729983292562494,58.09896092862051,1028559.3797326416
8.759359188726153,53.154206793951346,1117017.3688885628
8.246212835479499,55.78744452029031,369395.48972265795
5.126823148858985,54.942754877987724,450111.38738956605
0.658872633225902,56.657291527911035,309677.42977209506
3.8686213367409925,56.13597888442587,1114612.4168580028
15.461815600581717,55.838694306359734,1.0052518230100732E7
11.598883187805123,57.13888306749594,372778.8647477891
16.424267485718065,59.18186827324427,533837.2940256898
11.779963007293073,60.6178478503291,1582462.3745684596
6.287871340879706,59.612123799085786,284635.1648534546
1.5761272635563113,61.07038358056788,2172467.9561153147
7.175124224624714,62.56767520877257,1733720.7377937716
1.2413498547127897,63.97593777345495,318914.1829549302
43.27754060648,45.7209752765727,454561.9768010855
48.88833565413123,49.15491697789146,1.1737578318776898E7
39.34758065603541,48.54803079867398,248535.2065924275
42.67307088458732,52.32429190867306,3648984.478628563
58.30304078471902,54.040889930828605,381410.0530574697
52.26098728699391,54.719768024978315,541424.9339336908
37.92414079263251,50.51519196973996,463813.96813756705
38.05574244206105,53.1987319811306,478252.4144479479
41.59462774266406,55.446879331785624,200429.93970652783
33.91408771781974,54.249483115630035,280461.663785169
33.26274236691213,56.11990647140555,191910.5049848657
38.547708695369465,58.40548447694184,6070044.812241922
35.26964752907742,59.55026565177346,732611.6818370824
48.79357845530404,57.91644397149546,204386.78568958942
49.42636415899731,62.35274506851802,7605953.683748699
