ra,dec
46.12338773936627,1.0663540308059727
45.057731063436776,1.4571883418094422
46.61302726251647,1.9613209797227082
47.329297675653486,2.745941307454066
45.81450527929825,2.902214072545151
43.4090995448036,1.9686892938513239
42.96990994652053,2.913675085760774
44.666630845946834,3.022074596408927
43.69549621494621,3.5693345102762533
47.96749064756063,2.911377362220422
47.95296303010379,3.529363500648425
47.94819142630086,3.822149687125373
48.818321448563886,4.081401960390966
49.84325606003928,5.142260481342941
49.471158219021625,5.1490497578317145
46.85221815223921,4.261910788294139
46.03525971403882,4.97702629547234
46.01537878388684,5.3363412680511475
47.87350931928768,5.588885202026264
46.60206426551212,5.956938196327417
41.924513765213916,2.955702065781604
42.83743103261598,3.9226102061149115
41.64130388404923,4.068050249777622
44.79311080220406,4.726580559552216
43.55217632454088,5.048261979508804
40.697506525732976,4.050387624225959
40.08213758233352,4.81114273792807
41.99726947651325,5.2663949756542845
41.213174406839464,5.801879887759194
44.713359813099466,5.080879710527542
45.71178225312638,5.769979901669933
43.97404617897105,6.059454722449388
46.26197264938039,6.12218704417853
47.23301102260588,7.01452339018516
45.534249812195455,7.161656453906132
44.17247592970434,6.531962990621593
44.51668061675142,7.504482720426688
44.03143308041767,7.922360951592264
45.02314019097263,8.02209795297836
43.82016210722349,8.385951691861825
50.573345809137344,5.379138160359955
50.04370685871229,6.197339013802283
52.38739302527842,6.486894422553081
52.427802129666624,7.383331678405348
51.90675543872518,7.7504487768095665
49.84249774980163,6.556259299867856
49.9381181479901,7.39598833771728
49.553233865186144,7.565504384503424
50.41814457403314,8.19907286895721
49.921787617512685,8.162825781267607
50.52815934392457,8.930969440482247
54.59845225966365,8.472818422569542
52.65557036300008,8.574674270435922
54.6217005112807,8.989779118183817
54.55107050429619,9.708091108019522
52.47995607443314,8.78338755785391
52.62821484441017,9.650677305034133
50.86849934248966,9.739365667241008
51.99895002257831,10.52923735627074
53.18270742610918,10.659505916889449
48.10473647986604,7.822842220647891
47.777169182688624,8.721887357143606
49.92420988279957,9.250977985457787
48.46038918589024,9.700474455532621
46.546567539201114,9.101403920467154
45.702729132733715,9.05986976552545
46.1143795329798,10.29593047039333
47.422311858348614,10.48347538925555
47.83799658991215,11.253842112050997
51.52421241769152,10.461741158054686
52.15136119620787,11.390371152652273
51.10369474126874,11.989596547653857
48.50339317080625,11.450271886158731
50.81775805553165,12.733076513006335
49.97557040270871,13.571549337693794
40.129972769660824,5.563477965817723
38.91239467866594,6.138222868503691
40.725827935273465,6.074160080952712
40.25596155260323,6.771264478701186
38.328559204017,6.4203220069747555
38.519878123222334,7.325094058953069
37.7017741543101,7.590106755617565
40.348864378676126,8.52698876538297
39.737213507289844,8.904158227718286
42.01422310517724,7.92510016233255
41.68753962533716,8.801014940219822
43.223674579801575,9.159539463158026
42.85564043699653,9.534925163663893
40.82469561342358,8.95087045896027
40.020980941601685,10.130997160045242
43.22072794742378,10.66872976802049
42.10922785505218,11.130534212119057
36.78077850501439,7.857875395971689
36.77002613848672,8.311250140100938
35.7418679205625,8.695543130786378
37.59157461560443,9.238598670857739
38.64165512795614,9.90573410258079
38.37946853233119,10.066229772519897
36.061808963250556,9.325829087405424
34.71125710057352,9.499287413965797
34.79640852088612,10.436627247692314
37.335560552613785,10.325996776320185
35.674191242239026,10.4962809005235
36.62434283442407,11.214581651495594
39.76577502161652,10.39701832129924
39.92674953099695,11.120292341930838
39.07737874185882,11.577316812216472
41.52119571831816,12.022606035771108
40.07763871176627,12.272495667154315
